STATE;LAST NAME;GENERAL 
Alabama;Trump;0,62
Alabama;Clinton;0,34
Alaska;Trump;0,51
Alaska;Clinton;0,37
Arizona;Trump;0,49
Arizona;Clinton;0,45
Arkansas;Trump;0,61
Arkansas;Clinton;0,34
California;Clinton;0,62
California;Trump;0,32
Colorado;Clinton;0,48
Colorado;Trump;0,43
Connecticut;Clinton;0,55
Connecticut;Trump;0,41
Delaware;Clinton;0,53
Delaware;Trump;0,42
District of Columbia;Clinton;0,91
District of Columbia;Trump;0,04
Florida;Trump;0,49
Florida;Clinton;0,48
Georgia;Trump;0,51
Georgia;Clinton;0,46
Hawaii;Clinton;0,62
Hawaii;Trump;0,30
Idaho;Trump;0,59
Idaho;Clinton;0,27
Idaho;McMullin;0,07
Illinois;Clinton;0,56
Illinois;Trump;0,39
Indiana;Trump;0,57
Indiana;Clinton;0,38
Iowa;Trump;0,51
Iowa;Clinton;0,42
Kansas;Trump;0,57
Kansas;Clinton;0,36
Kentucky;Trump;0,63
Kentucky;Clinton;0,33
Louisiana;Trump;0,58
Louisiana;Clinton;0,38
Maine;Clinton;0,48
Maine;Trump;0,45
Maryland;Clinton;0,60
Maryland;Trump;0,34
Massachusetts;Clinton;0,60
Massachusetts;Trump;0,33
Michigan;Trump;0,47
Michigan;Clinton;0,47
Minnesota;Clinton;0,46
Minnesota;Trump;0,45
Mississippi;Trump;0,58
Mississippi;Clinton;0,40
Missouri;Trump;0,57
Missouri;Clinton;0,38
Montana;Trump;0,56
Montana;Clinton;0,36
Nebraska;Trump;0,59
Nebraska;Clinton;0,34
Nevada;Clinton;0,48
Nevada;Trump;0,46
New Hampshire;Clinton;0,47
New Hampshire;Trump;0,46
New Jersey;Clinton;0,55
New Jersey;Trump;0,41
New Mexico;Clinton;0,48
New Mexico;Trump;0,40
New York;Clinton;0,59
New York;Clinton;0,57
New York;Clinton;0,02
North Carolina;Trump;0,50
North Carolina;Clinton;0,46
North Dakota;Trump;0,63
North Dakota;Clinton;0,27
Ohio;Trump;0,52
Ohio;Clinton;0,44
Oklahoma;Trump;0,65
Oklahoma;Clinton;0,29
Oregon;Clinton;0,50
Oregon;Trump;0,39
Pennsylvania;Trump;0,48
Pennsylvania;Clinton;0,47
Rhode Island;Clinton;0,54
Rhode Island;Trump;0,39
South Carolina;Trump;0,55
South Carolina;Clinton;0,41
Tennessee;Trump;0,61
Tennessee;Clinton;0,35
Texas;Trump;0,52
Texas;Clinton;0,43
Utah;Trump;0,46
Utah;Clinton;0,27
Vermont;Clinton;0,57
Vermont;Trump;0,30
Virginia;Clinton;0,50
Virginia;Trump;0,44
Washington;Clinton;0,53
Washington;Trump;0,37
West Virginia;Trump;0,68
West Virginia;Clinton;0,26
Wisconsin;Trump;0,47
Wisconsin;Clinton;0,46
Wyoming;Trump;0,68
Wyoming;Clinton;0,22