State;name;percentage;Result
Alabama;Trump;0,62;62,00
Alabama;Clinton;0,34;34,00
Alaska;Trump;0,51;51,00
Alaska;Clinton;0,37;37,00
Arizona;Trump;0,49;49,00
Arizona;Clinton;0,45;45,00
Arkansas;Trump;0,61;61,00
Arkansas;Clinton;0,34;34,00
California;Clinton;0,62;62,00
California;Trump;0,32;32,00
Colorado;Clinton;0,48;48,00
Colorado;Trump;0,43;43,00
Connecticut;Clinton;0,55;55,00
Connecticut;Trump;0,41;41,00
Delaware;Clinton;0,53;53,00
Delaware;Trump;0,42;42,00
District of Columbia;Clinton;0,91;91,00
District of Columbia;Trump;0,04;4,00
Florida;Trump;0,49;49,00
Florida;Clinton;0,48;48,00
Georgia;Trump;0,51;51,00
Georgia;Clinton;0,46;46,00
Hawaii;Clinton;0,62;62,00
Hawaii;Trump;0,3;30,0
Idaho;Trump;0,59;59,00
Idaho;Clinton;0,27;27,00
Illinois;Clinton;0,56;56,00
Illinois;Trump;0,39;39,00
Indiana;Trump;0,57;57,00
Indiana;Clinton;0,38;38,00
Iowa;Trump;0,51;51,00
Iowa;Clinton;0,42;42,00
Kansas;Trump;0,57;57,00
Kansas;Clinton;0,36;36,00
Kentucky;Trump;0,63;63,00
Kentucky;Clinton;0,33;33,00
Louisiana;Trump;0,58;58,00
Louisiana;Clinton;0,38;38,00
Maine;Clinton;0,48;48,00
Maine;Trump;0,45;45,00
Maryland;Clinton;0,6;60,0
Maryland;Trump;0,34;34,00
Massachusetts;Clinton;0,6;60,0
Massachusetts;Trump;0,33;33,00
Michigan;Trump;0,47;47,00
Michigan;Clinton;0,47;47,00
Minnesota;Clinton;0,46;46,00
Minnesota;Trump;0,45;45,00
Mississippi;Trump;0,58;58,00
Mississippi;Clinton;0,4;40,0
Missouri;Trump;0,57;57,00
Missouri;Clinton;0,38;38,00
Montana;Trump;0,56;56,00
Montana;Clinton;0,36;36,00
Nebraska;Trump;0,59;59,00
Nebraska;Clinton;0,34;34,00
Nevada;Clinton;0,48;48,00
Nevada;Trump;0,46;46,00
New Hampshire;Clinton;0,47;47,00
New Hampshire;Trump;0,46;46,00
New Jersey;Clinton;0,55;55,00
New Jersey;Trump;0,41;41,00
New Mexico;Clinton;0,48;48,00
New Mexico;Trump;0,4;40,0
New York;Clinton;0,59;59,00
New York;Trump;0,36;36
North Carolina;Trump;0,5;50,0
North Carolina;Clinton;0,46;46,00
North Dakota;Trump;0,63;63,00
North Dakota;Clinton;0,27;27,00
Ohio;Trump;0,52;52,00
Ohio;Clinton;0,44;44,00
Oklahoma;Trump;0,65;65,00
Oklahoma;Clinton;0,29;29,00
Oregon;Clinton;0,5;50,0
Oregon;Trump;0,39;39,00
Pennsylvania;Trump;0,48;48,00
Pennsylvania;Clinton;0,47;47,00
Rhode Island;Clinton;0,54;54,00
Rhode Island;Trump;0,39;39,00
South Carolina;Trump;0,55;55,00
South Carolina;Clinton;0,41;41,00
Tennessee;Trump;0,61;61,00
Tennessee;Clinton;0,35;35,00
Texas;Trump;0,52;52,00
Texas;Clinton;0,43;43,00
Utah;Trump;0,46;46,00
Utah;Clinton;0,27;27,00
Vermont;Clinton;0,57;57,00
Vermont;Trump;0,3;30,0
Virginia;Clinton;0,5;50,0
Virginia;Trump;0,44;44,00
Washington;Clinton;0,53;53,00
Washington;Trump;0,37;37,00
West Virginia;Trump;0,68;68,00
West Virginia;Clinton;0,26;26,00
Wisconsin;Trump;0,47;47,00
Wisconsin;Clinton;0,46;46,00
Wyoming;Trump;0,68;68,00
Wyoming;Clinton;0,22;22,00